gene	KO	Rescue	WT
gene_6096	0	1	1
gene_6097	39	155	328
gene_6098	453	2178	4428
gene_6099	549	1390	2646
gene_6100	0	0	0
gene_6101	34	57	155
gene_6102	338	1166	2354
gene_6106	0	1	4
gene_6108	0	1	0
gene_6112	0	0	0
gene_6113	6	17	26
gene_6115	0	1	0
gene_6116	117	324	726
gene_6117	1	2	2
gene_6118	16	44	120
gene_6119	7	5	24
gene_6120	5	0	1
gene_6121	273	467	915
gene_6122	10	19	32
gene_6128	16	50	104
gene_6129	128	339	554
gene_6130	387	877	1521
gene_6131	695	1823	3662
gene_6132	0	0	3
gene_6133	387	705	1704
gene_6134	1	2	6
gene_6135	2	4	6
gene_6136	297	519	1162
gene_6137	193	425	773
gene_6138	45	120	176
gene_6139	905	1623	3415
gene_6140	1527	2567	5874
gene_6141	710	1422	2728
gene_6142	55	141	218
gene_6143	3	5	10
gene_6144	177	364	670
gene_6145	80	269	397
gene_6146	389	725	1494
gene_6147	661	1351	3301
gene_6148	1064	484	1195
gene_6149	119	291	733
gene_6150	98	254	673
gene_6151	0	1	0
gene_6152	18	34	52
gene_6153	22	28	58
gene_6154	13	31	52
gene_6155	358	661	1350
gene_6156	2001	46	88
gene_6157	202	349	627
gene_6158	12	18	35
gene_6159	1087	1919	4008
gene_6160	739	1216	2982
gene_6161	248	430	983
gene_6162	111	476	768
gene_6163	609	968	2379
gene_6164	371	642	1458
gene_6165	1	3	3
gene_6166	1	1	1
gene_6167	3	9	3
gene_6168	1147	2101	4267
gene_6169	0	0	0
gene_6179	65	172	285
gene_6180	11	18	55
gene_6181	465	1038	2119
gene_6182	617	1530	3110
gene_6185	67	132	273
gene_6186	14	21	60
gene_6187	45	147	247
gene_6188	594	2581	4422
gene_6189	76	263	418
gene_6190	24	37	124
gene_6191	542	1146	2395
gene_6192	558	1167	2431
gene_6193	3	10	36
gene_6194	12	21	16
gene_6195	5	0	5
gene_6196	7675	13403	30274
gene_6198	231	492	1068
gene_6199	1210	2147	4434
gene_6200	0	0	1
gene_6201	234	387	1005
gene_6202	1	0	17
gene_6206	125	288	492
gene_6207	637	1742	3368
gene_6208	127	336	640
gene_6209	89	223	425
gene_6210	296	632	1298
gene_6211	507	909	1650
gene_6214	661	1556	3978
gene_6215	2	8	46
gene_6217	0	0	0
gene_6218	116	291	512
gene_6219	0	0	0
gene_6222	0	0	0
gene_6223	0	1	8
gene_6224	1481	3135	6460
gene_6225	505	1202	2213
gene_6226	320	646	1258
gene_6227	185	373	789
gene_6228	337	799	1403
gene_6229	10	65	56
gene_6230	5	56	66
gene_6231	145	334	638
gene_6232	533	1074	2202
gene_6233	184	318	757
gene_6234	0	0	1
gene_6236	302	613	1223
gene_6237	420	757	1581
gene_6238	593	1181	2474
gene_6240	0	1	2
gene_6241	2	3	0
gene_6242	0	0	0
gene_6244	209	495	835
gene_6245	102	174	373
gene_6246	0	3	0
gene_6247	0	0	3
gene_6248	0	0	3
gene_6249	0	0	6
gene_6256	288	608	1168
gene_6257	5	6	18
gene_6259	517	1196	2166
gene_6263	472	1055	2056
gene_6265	70	136	235
gene_6266	3	9	9
gene_6268	3	6	5
gene_6269	548	1433	2735
gene_6270	37	102	173
gene_6271	37	125	214
gene_6272	109	239	436
gene_6273	28	45	82
gene_6280	219	401	829
gene_6281	0	6	4
gene_6282	619	1628	2909
gene_6283	300	881	1590
gene_6284	11784	23951	49686
gene_6285	928	1999	3780
gene_6287	71	244	427
gene_6289	0	0	0
gene_6290	0	0	0
gene_6292	0	2	0
gene_6293	1080	2404	4473
gene_6294	264	568	1014
gene_6295	114	238	414
gene_6299	10	23	47
gene_6301	280	779	1276
gene_6306	0	0	0
gene_6307	232	522	929
gene_6308	243	607	1168
gene_6309	34	68	140
gene_6310	1	1	1
gene_6318	1047	3018	6079
gene_6319	1	9	30
gene_6321	1829	4660	8740
gene_6322	561	1328	2487
gene_6323	0	0	0
gene_6324	58	223	303
gene_6325	245	589	1024
gene_6326	18	42	99
gene_6327	141	303	653
gene_6328	384	745	1365
gene_6329	1082	2717	4633
gene_6330	299	609	1270
gene_6331	242	585	1031
gene_6332	3	11	16
gene_6335	777	1661	3619
gene_6336	54	83	290
gene_6337	599	1280	2505
gene_6338	14	34	54
gene_6340	1	2	5
gene_6341	888	1855	3403
gene_6342	265	615	1036
gene_6343	66	101	169
gene_6344	1555	3853	7013
gene_6345	0	0	0
gene_6356	72	141	279
gene_6358	100	251	382
gene_6359	240	479	989
gene_6360	456	1019	2057
gene_6361	0	1	1
gene_6363	53	107	277
gene_6364	996	3134	6014
gene_6365	3	16	24
gene_6366	5	20	40
gene_6367	32	75	184
gene_6368	905	2304	4692
gene_6369	60	132	354
gene_6370	135	213	424
gene_6371	149	204	612
gene_6372	804	1231	3221
gene_6373	577	1315	2409
gene_6374	26192	1564	3237
gene_6375	0	2	3
gene_6377	84	199	325
gene_6378	11	37	61
gene_6379	103	268	548
gene_6380	43	66	127
gene_6384	1	4	5
gene_6385	341	794	1353
gene_6386	327	677	1548
gene_6387	16	39	88
gene_6388	132	419	1000
gene_6389	1	0	5
gene_6390	2	11	23
gene_6391	2	2	2
gene_6395	1	0	0
gene_6396	0	0	1
gene_6398	272	730	1371
gene_6399	11372	18484	37170
gene_6400	0	1	0
gene_6401	0	0	3
gene_6402	0	0	3
gene_6404	8	28	43
gene_6405	0	6	13
gene_6406	229	561	1039
gene_6407	20	41	79
gene_6408	1	1	13
gene_6409	7014	12494	28596
gene_6410	58	125	186
gene_6411	58	96	217
gene_6412	174	440	810
gene_6418	2800	5739	11428
gene_6419	27	64	89
gene_6421	2151	4230	9264
gene_6422	0	0	0
gene_6423	0	0	0
gene_6424	1	0	0
gene_6425	252	707	1336
gene_6426	35	104	184
gene_6427	237	512	899
gene_6428	94	160	349
gene_6429	218	673	982
gene_6430	9	17	34
gene_6431	65	114	317
gene_6432	11	25	89
gene_6437	0	0	0
gene_6438	230	346	810
gene_6442	755	1413	2777
gene_6443	371	601	1346
gene_6444	0	0	5
gene_6449	0	0	1
gene_6452	88	233	398
gene_6453	0	0	1
gene_6455	174	445	758
gene_6456	52	137	182
gene_6457	149	416	618
gene_6458	115	301	490
gene_6465	16	27	60
gene_6466	278	668	1328
gene_6468	205	427	784
gene_6469	21	69	90
gene_6471	0	0	0
gene_6472	0	0	0
gene_6473	121	293	507
gene_6474	0	0	3
gene_6475	86	133	232
gene_6476	3	7	9
gene_6477	20	45	89
gene_6478	17	50	115
gene_6479	518	1236	2334
gene_6480	186	420	571
gene_6481	62	171	286
gene_6482	0	0	1
gene_6484	1210	2497	5508
gene_6485	277	469	1065
gene_6486	17	32	79
gene_6487	726	1883	3611
gene_6488	9	10	47
gene_6489	290	490	1102
gene_6491	329	821	1709
gene_6492	168	416	925
gene_6493	328	936	1613
gene_6494	3	7	5
gene_6495	341	1009	1787
gene_6496	306	841	1441
gene_6497	0	0	0
gene_6498	0	0	0
gene_6499	368	863	1876
gene_6500	0	1	0
gene_6501	0	0	0
gene_6502	0	0	0
gene_6503	8	3	0
gene_6504	0	0	0
gene_6505	6	12	25
gene_6506	0	0	1
gene_6507	70	199	373
gene_6508	0	4	7
gene_6509	0	0	1
gene_6510	0	4	0
gene_6511	0	2	4
gene_6512	0	0	9
gene_6513	6	10	30
gene_6514	0	0	1
gene_6517	96	192	464
gene_6518	0	0	5
gene_6519	0	0	0
gene_6523	0	0	0
gene_6524	0	0	3
gene_6525	202	346	844
gene_6526	1453	2368	5162
gene_6527	666	1410	2629
gene_6528	23	47	83
gene_6529	187	322	586
gene_6530	252	453	1063
gene_6531	12	41	37
gene_6532	3	10	8
gene_6533	770	1419	3189
gene_6534	1110	2082	4136
gene_6535	182	272	576
gene_6536	17	44	85
gene_6537	2270	3795	7734
gene_6539	755	1345	2758
gene_6540	3591	6245	14506
gene_6541	188	326	611
gene_6543	53	119	229
gene_6544	202	434	795
gene_6546	1	4	3
gene_6547	1647	2476	5661
gene_6548	255	459	922
gene_6549	429	869	1622
gene_6550	195	366	756
gene_6551	189	396	727
gene_6552	119	250	469
gene_6553	1143	2368	4744
gene_6554	219	582	1399
gene_6556	6	6	32
gene_6557	2176	3720	7940
gene_6558	0	0	2
gene_6559	344	720	1380
gene_6560	362	691	1605
gene_6561	1	2	2
gene_6562	0	0	1
gene_6563	342	693	1561
gene_6564	487	939	1944
gene_6565	824	1625	3630
gene_6566	43	50	180
gene_6567	95	220	460
gene_6568	4	5	18
gene_6569	601	1127	2342
gene_6570	28	55	141
gene_6571	54	102	211
gene_6572	1	0	8
gene_6573	311	692	1306
gene_6574	1456	2216	5109
gene_6575	483	992	2190
gene_6576	544	1005	2376
gene_6577	2280	4349	9365
gene_6578	59	99	228
gene_6579	630	1273	2633
gene_6580	2501	4381	10126
gene_6581	562	930	2197
gene_6582	267	623	1431
gene_6583	150	248	562
gene_6584	1	14	37
gene_6586	0	0	1
gene_6588	31	77	82
gene_6589	457	1028	2028
gene_6590	2853	3936	9737
gene_6591	6283	12687	27346
gene_6592	0	3	0
gene_6593	484	958	2037
gene_6594	137	222	472
gene_6595	60	108	206
gene_6596	79	121	277
gene_6597	2374	4039	9159
gene_6599	5	7	28
gene_6601	1497	2589	5979
gene_6602	21	40	101
gene_6603	1	6	7
gene_6604	439	773	1796
gene_6605	24	55	115
gene_6606	356	657	1624
gene_6607	572	1048	2167
gene_6608	15	7	3
gene_6609	0	4	7
gene_6610	53	188	273
gene_6611	87	140	227
gene_6613	940	1786	3842
gene_6614	94	153	350
gene_6615	4	0	2
gene_6616	93	179	312
gene_6617	333	595	1195
gene_6618	338	729	1326
gene_6619	24	54	76
gene_6620	47	90	171
gene_6621	240	544	1049
gene_6622	1	0	0
gene_6623	0	0	5
gene_6624	2092	3849	8816
gene_6626	5	11	19
gene_6627	1	3	7
gene_6628	735	1860	3994
gene_6629	83	110	323
gene_6630	871	1363	3168
gene_6631	40	93	177
gene_6632	57	108	235
gene_6633	67	59	60
gene_6634	912	745	1509
gene_6635	408	727	1482
gene_6636	293	606	1285
gene_6637	7	6	32
gene_6638	1	2	4
gene_6639	15	27	29
gene_6640	138	348	594
gene_6641	184	400	946
gene_6642	42	88	196
gene_6643	321	547	1399
gene_6644	493	267	560
gene_6645	24	44	102
gene_6646	6	19	45
gene_6647	107	202	511
gene_6649	49	104	183
gene_6650	470	1078	2360
gene_6651	3	16	14
gene_6652	0	3	8
gene_6653	454	1024	1958
gene_6654	1527	2423	6088
gene_6655	603	1264	2353
gene_6656	178	391	718
gene_6657	385	586	1486
gene_6658	1	2	0
gene_6659	0	0	0
gene_6666	1	0	3
gene_6667	0	1	0
gene_6668	416	690	1626
gene_6669	167	338	707
gene_6670	0	0	11
gene_6671	1	0	5
gene_6672	339	556	1410
gene_6673	130	198	602
gene_6674	655	1425	3076
gene_6675	256	401	1054
gene_6676	916	1556	3637
gene_6677	858	1475	3459
gene_6678	10212	19492	43302
gene_6679	0	0	0
gene_6680	217	464	1085
gene_6681	209	331	741
gene_6683	618	1318	2499
gene_6685	0	2	1
gene_6686	222	424	930
gene_6687	693	1193	3103
gene_6688	13	7	17
gene_6689	47	83	235
gene_6690	1222	2239	5179
gene_6691	183	325	630
gene_6692	31	54	135
gene_6693	89	231	430
gene_6694	1476	869	1948
gene_6695	23	67	128
gene_6696	8	14	18
gene_6697	11	37	69
gene_6698	426	867	1698
gene_6699	15	16	73
gene_6700	1212	1921	4794
gene_6701	94	147	358
gene_6702	693	1377	2774
gene_6703	882	2140	3739
gene_6704	336	793	1380
gene_6705	853	1610	3495
gene_6706	279	597	1147
gene_6709	0	0	0
gene_6710	1	0	5
gene_6711	0	0	0
gene_6712	1	0	3
gene_6713	70	134	384
gene_6714	73	146	420
gene_6715	0	0	1
gene_6716	504	994	1838
gene_6717	85	160	256
gene_6718	24	42	87
gene_6719	298	556	998
gene_6720	615	1226	2640
gene_6722	5802	10403	23691
gene_6723	400	941	1656
gene_6724	262	646	1152
gene_6725	0	4	3
gene_6726	1015	1929	4595
gene_6727	192	405	750
gene_6728	47	108	149
gene_6729	286	551	927
gene_6730	195	426	910
gene_6731	0	0	0
gene_6748	29	82	161
gene_6749	936	2103	3929
gene_6750	227	526	1091
gene_6752	5	11	37
gene_6753	1	3	12
gene_6754	120	227	325
gene_6755	2	14	17
gene_6756	718	1752	3217
gene_6757	30	74	122
gene_6758	1	0	0
gene_6759	1	0	0
gene_6760	0	0	2
gene_6761	250	578	983
gene_6762	2437	6270	12319
gene_6763	5	10	25
gene_6764	316	688	1330
gene_6765	8	14	26
gene_6766	0	0	0
gene_6767	750	1989	3671
gene_6768	4833	9135	20519
gene_6769	164	307	752
gene_6770	0	0	3
gene_6772	60	168	408
gene_6773	224	386	782
gene_6774	275	463	999
gene_6776	10	27	54
gene_6777	475	826	1813
gene_6778	49	67	172
gene_6780	34	65	85
gene_6781	0	5	7
gene_6782	0	0	0
gene_6784	158	287	638
gene_6785	678	1108	2631
gene_6786	5	23	25
gene_6791	3695	12	17
gene_6793	2	6	11
gene_6794	9	3	36
gene_6795	30	37	96
gene_6797	6	9	60
gene_6798	0	0	1
gene_6799	0	0	4
gene_6800	10	5	22
gene_6801	20	21	26
gene_6802	1	1	1
gene_6803	485	1109	1901
gene_6804	0	0	0
gene_6805	242	517	944
gene_6806	0	0	1
gene_6807	7	12	9
gene_6808	0	2	5
gene_6809	441	956	1925
gene_6810	1	1	1
gene_6811	0	0	0
gene_6812	0	0	0
gene_6814	0	0	0
gene_6819	0	0	3
gene_6823	478	954	2333
gene_6824	0	0	0
gene_6825	0	0	0
gene_6827	302	536	1011
gene_6828	584	1088	2191
gene_6832	6	12	17
gene_6834	1192	2827	5106
gene_6835	16	30	46
gene_6839	90	223	384
gene_6840	102	250	517
gene_6841	521	1484	2849
gene_6842	422	924	1703
gene_6843	1060	2554	5065
gene_6844	1	3	6
gene_6845	344	851	1694
gene_6848	0	4	5
gene_6853	909	1862	3810
gene_6854	473	980	1965
gene_6857	0	0	0
gene_6858	0	0	0
gene_6859	0	2	1
gene_6860	57	283	446
gene_6861	0	0	0
gene_6867	0	9	2
gene_6872	352	961	1772
gene_6875	170	363	627
gene_6876	14	18	66
gene_6877	556	1331	2715
gene_6878	7	16	21
gene_6879	231	275	815
gene_6880	0	0	9
gene_6881	21	16	44
gene_6882	0	0	0
gene_6885	0	2	3
gene_6886	1	7	13
gene_6888	2	7	39
gene_6889	31	82	179
gene_6890	31	60	172
gene_6891	0	0	8
gene_6895	1	2	7
gene_6900	0	0	1
gene_6904	111	319	761
gene_6914	0	0	1
gene_6919	29	96	180
gene_6921	325	950	1833
gene_6923	0	0	0
gene_6924	0	0	0
gene_6925	276	634	1197
gene_6926	11	20	42
gene_6927	62	209	318
gene_6928	63	149	280
gene_6933	1544	3514	6120
gene_6934	187	480	902
gene_6935	61	156	190
gene_6936	193	330	653
gene_6937	186	499	846
gene_6940	0	0	0
gene_6944	112	332	530
gene_6945	2	10	14
gene_6946	587	1744	3082
gene_6947	69	43	58
gene_6948	765	1840	3475
gene_6949	0	2	1
gene_6963	254	947	1419
gene_6964	88	252	475
gene_6965	0	0	2
gene_6967	0	3	0
gene_6968	245	553	1299
gene_6969	4	1	17
gene_6970	13	43	67
gene_6971	1715	3826	7719
gene_6972	2	0	3
gene_6973	6	9	18
gene_6977	0	0	0
gene_6978	2	0	9
gene_6979	462	960	1531
gene_6980	64	283	555
gene_6982	518	1293	2445
gene_6983	650	1379	2434
gene_6984	1595	3830	7133
gene_6985	16	22	64
gene_6986	1	1	3
gene_6987	13	19	41
gene_6988	1722	4201	8465
gene_6989	4	3	6
gene_6990	0	0	1
gene_6991	47	248	408
gene_6992	502	1043	2014
gene_6993	3983	3986	7192
gene_6994	338	961	1671
gene_6995	121	205	574
gene_6996	10307	15356	38057
gene_6997	15	27	71
gene_6998	113	330	508
gene_6999	120	246	381
gene_7000	3	6	7
gene_7001	139	515	941
gene_7003	0	1	1
gene_7004	0	1	1
gene_7005	1	6	9
gene_7007	289	606	1115
gene_7008	212	615	1121
gene_7011	0	0	0
gene_7014	12	61	30
gene_7015	0	1	0
gene_7017	0	0	3
gene_7018	0	0	0
gene_7019	1091	3065	5474
gene_7020	0	0	1
gene_7021	0	0	0
gene_7022	1	0	3
gene_7023	1651	3436	5713
gene_7025	559	1199	2174
gene_7026	1181	3935	6943
gene_7027	11	48	47
gene_7028	292	662	1045
gene_7029	208	442	855
gene_7030	35	42	85
gene_7031	1	0	1
gene_7035	4	21	23
gene_7037	0	0	0
gene_7042	0	0	0
gene_7043	1	4	3
gene_7044	366	1043	1638
gene_7045	0	0	3
gene_7047	0	2	9
gene_7048	107	278	556
gene_7049	0	0	1
gene_7050	41	410	499
gene_7052	505	1319	2197
gene_7053	4	0	9
gene_7054	0	17	13
gene_7055	328	720	1375
gene_7056	22	56	135
gene_7057	41	48	46
gene_7058	0	5	16
gene_7059	1	0	5
gene_7060	313	1227	1909
gene_7061	13	67	127
gene_7062	1	0	7
gene_7064	1054	2455	4273
gene_7065	657	1637	2600
gene_7066	150	358	607
gene_7069	0	0	0
gene_7070	0	1	3
gene_7071	42	78	145
gene_7072	236	459	859
gene_7073	765	1660	3065
gene_7074	24	40	94
gene_7075	0	0	1
gene_7076	0	0	0
gene_7077	1	3	12
gene_7079	110	357	479
gene_7080	261	798	1123
gene_7081	1	3	3
gene_7082	20876	793	1153
gene_7083	182	410	853
gene_7084	8	0	0
gene_7085	461	1194	2181
gene_7086	3095	6552	13241
gene_7087	4	11	24
gene_7088	1065	2261	4732
gene_7089	86	249	390
gene_7090	1	5	5
gene_7091	335	715	1184
gene_7092	99	267	393
gene_7094	0	0	0
gene_7095	707	1339	2610
gene_7097	0	0	0
gene_7098	0	0	0
gene_7099	0	0	0
gene_7100	188	311	586
gene_7101	143	232	444
gene_7102	0	0	2
gene_7106	1	3	3
gene_7107	0	0	0
gene_7110	0	0	0
gene_7112	0	0	1
gene_7113	0	0	0
gene_7122	0	1	13
gene_7125	0	0	1
gene_7126	0	38	70
gene_7127	524	1685	3456
gene_7128	27	80	187
gene_7129	13	18	36
gene_7130	1	1	2
gene_7131	468	1363	2330
gene_7132	217	484	891
gene_7133	0	0	1
gene_7134	20643	1598	3442
gene_7136	0	0	2
gene_7137	81	132	248
gene_7138	2	10	1
gene_7139	1	2	11
gene_7140	497	1065	1983
gene_7141	4	4	13
gene_7143	4	41	60
gene_7145	89	454	769
gene_7146	1362	3214	6866
gene_7149	18	29	75
gene_7150	1	2	9
gene_7151	1028	2593	4601
gene_7152	2	4	5
gene_7153	0	2	1
gene_7155	1446	2758	5556
gene_7156	202	518	1115
gene_7157	293	636	1381
gene_7158	131	397	753
gene_7162	0	3	3
gene_7163	0	0	0
gene_7164	168	386	596
gene_7167	0	3	5
gene_7168	2093	5023	8711
gene_7169	299	829	1614
gene_7170	34	73	165
gene_7171	29	92	210
gene_7172	257	485	1049
gene_7175	0	2	0
gene_7176	178	350	562
gene_7177	39892	1986	4201
gene_7178	190	407	701
gene_7179	415	886	1674
gene_7180	1096	2132	4440
gene_7182	671	1826	1975
gene_7183	1307	3139	4822
gene_7184	0	0	0
gene_7185	900	2768	3638
gene_7186	88	288	322
gene_7187	216	529	1074
gene_7188	63	135	225
gene_7189	0	0	1
gene_7190	674	1314	2685
gene_7191	203	465	868
gene_7192	0	0	0
gene_7193	18	61	130
gene_7194	1	2	8
gene_7195	1198	2694	5243
gene_7196	37	102	165
gene_7197	584	1887	2859
gene_7199	0	0	0
gene_7200	405	1083	1720
gene_7201	0	3	0
gene_7202	830	1946	3631
gene_7203	0	0	0
gene_7204	835	1423	3090
gene_7205	3363	6089	15286
gene_7206	0	0	0
gene_7207	1	4	2
gene_7208	9665	20934	43300
gene_7209	98	192	348
gene_7211	419	962	1739
gene_7212	750	1806	3236
gene_7213	23967	1445	3056
gene_7214	224	483	966
gene_7215	2	7	5
gene_7218	0	3	8
gene_7219	0	3	0
gene_7220	89	210	329
gene_7221	0	4	11
gene_7222	946	1828	3876
gene_7223	0	1	3
gene_7224	10	23	55
gene_7225	1	15	50
gene_7227	0	2	0
gene_7228	0	4	0
gene_7229	0	3	0
gene_7230	0	1	1
gene_7231	0	0	1
gene_7232	15	37	96
gene_7234	4	7	4
gene_7235	1	6	1
gene_7236	492	985	1976
gene_7237	5	0	3
gene_7238	9	95	170
gene_7239	0	1	0
gene_7240	154	324	635
gene_7241	151	265	609
gene_7242	0	0	3
gene_7243	2120	4108	9850
gene_7248	0	0	0
gene_7252	0	0	0
gene_7253	397	683	1741
gene_7254	2308	3365	7425
gene_7255	723	1029	2456
gene_7256	391	698	1589
gene_7257	264	629	1152
gene_7258	4127	7449	18711
gene_7260	0	0	0
gene_7261	5560	11147	23570
gene_7262	1887	3064	6750
gene_7263	0	0	0
gene_7264	478	737	1853
gene_7268	64	47	188
gene_7269	120	109	372
gene_7271	0	0	0
gene_7272	6321	11271	25182
gene_7273	3837	8190	17860
gene_7274	0	0	0
gene_7275	4	8	11
gene_7276	0	3	5
gene_7277	756	1234	2947
gene_7278	108	170	397
gene_7279	3	2	4
gene_7280	16	25	69
gene_7282	407	533	1430
gene_7283	648	1087	2506
gene_7284	1	0	4
gene_7285	562	1149	2355
gene_7286	1	2	3
gene_7287	5736	11252	22951
gene_7288	3943	7855	16126
gene_7289	2	6	8
gene_7290	826	1345	3000
gene_7291	2435	3476	9621
gene_7292	645	1020	2778
gene_7293	6	17	16
gene_7294	405	850	1628
gene_7295	558	1043	2193
gene_7298	983	3851	8311
gene_7299	474	1500	2710
gene_7300	41	100	220
gene_7301	25	51	62
gene_7304	2	6	12
gene_7305	3	11	8
gene_7306	1	2	2
gene_7307	0	0	0
gene_7310	533	1189	2219
gene_7311	0	0	0
gene_7312	16327	3265	6009
gene_7315	102	221	373
gene_7316	104	196	308
gene_7317	0	0	0
gene_7318	3	14	26
gene_7319	708	1036	2588
gene_7320	23	42	101
gene_7321	1648	3101	6449
gene_7322	293	318	965
gene_7324	26	87	130
gene_7325	702	1564	3125
gene_7326	36	136	195
gene_7327	61	234	293
gene_7328	3	11	20
gene_7329	417	908	1971
gene_7330	41	150	174
gene_7331	4	3	26
gene_7338	2412	5622	11956
gene_7339	640	1490	2804
gene_7341	737	1330	2565
gene_7342	95	126	344
gene_7343	10	34	46
gene_7345	1	0	0
gene_7346	0	0	0
gene_7347	708	1657	3017
gene_7349	0	0	7
gene_7350	2112	1450	3405
gene_7351	490	858	1785
gene_7352	175	435	877
gene_7353	0	2	7
gene_7354	0	0	15
gene_7356	0	0	1
gene_7357	50	88	246
gene_7358	0	2	3
gene_7359	413	903	1830
gene_7360	1032	1937	4028
gene_7361	614	1276	2602
gene_7362	0	0	0
gene_7364	34	108	209
gene_7365	34	69	161
gene_7366	6	18	37
gene_7367	424	547	1058
gene_7368	18	48	75
gene_7369	0	0	1
gene_7373	13	17	62
gene_7375	0	6	3
gene_7377	213	428	887
gene_7378	345	838	1388
gene_7379	1	2	0
gene_7380	3	3	13
gene_7382	0	0	0
gene_7383	112	234	397
gene_7384	73	144	315
gene_7385	891	2339	4293
gene_7387	0	0	1
gene_7388	0	1	0
gene_7389	1	0	0
gene_7390	435	896	1697
gene_7395	0	0	0
gene_7396	0	1	1
gene_7397	2629	5501	11241
gene_7398	36	100	168
gene_7399	8	22	28
gene_7401	0	0	1
gene_7402	26	58	62
gene_7406	0	0	7
gene_7409	0	0	3
gene_7412	428	1300	2262
gene_7416	104	356	586
gene_7418	0	1	1
gene_7419	635	1691	2763
gene_7420	2	6	4
gene_7421	144	445	684
gene_7423	606	1050	2320
gene_7424	42	70	149
gene_7425	0	0	3
gene_7427	906	1459	2932
gene_7428	0	0	2
gene_7430	640	1182	2482
gene_7431	333	879	1745
gene_7432	381	1164	1864
gene_7433	527	1122	2003
gene_7434	0	0	0
gene_7435	2294	5557	11236
gene_7436	0	0	0
gene_7437	160	325	746
gene_7438	25	50	79
gene_7439	85	166	397
gene_7440	0	0	1
gene_7442	2	7	9
gene_7443	1705	4082	7066
gene_7444	2	7	9
gene_7452	206	505	823
gene_7456	6	15	54
gene_7457	20	1	9
gene_7458	1	6	10
gene_7459	1912	6105	15967
gene_7460	421	1145	2209
gene_7462	0	0	3
gene_7463	799	2224	3547
gene_7464	0	0	0
gene_7465	0	0	0
gene_7482	0	0	1
gene_7484	0	0	3
gene_7486	19149	1251	2336
gene_7487	1	1	1
gene_7489	505	1283	2633
gene_7490	68	213	466
gene_7492	0	0	0
gene_7493	0	0	1
gene_7494	3974	9009	20794
gene_7495	16	59	108
gene_7496	5	7	15
gene_7497	17417	36793	74465
gene_7498	18	165	301
gene_7501	567	1213	2246
gene_7502	72	126	345
gene_7503	623	1580	2979
gene_7504	1215	3302	5720
gene_7505	0	0	0
gene_7509	2	5	13
gene_7512	412	1092	2286
gene_7513	3446	7617	16428
gene_7514	2026	5418	10684
gene_7515	1488	2917	5440
gene_7516	2	3	15
gene_7517	26	33	86
gene_7518	3	7	7
gene_7519	2276	1472	3055
gene_7520	44	92	173
gene_7522	2	3	9
gene_7524	0	0	1
gene_7526	15	50	82
gene_7529	25	80	185
gene_7530	33	116	276
gene_7533	125	327	529
gene_7535	0	1	1
gene_7536	0	2	4
gene_7537	46	265	381
gene_7538	78	415	675
gene_7540	1647	4590	9266
gene_7541	514	153	359
gene_7542	1	4	3
gene_7545	69	96	208
gene_7546	0	0	0
gene_7547	575	1166	2712
gene_7550	0	0	0
gene_7553	6	9	6
gene_7554	115	245	464
gene_7555	604	1420	2402
gene_7561	0	1	1
gene_7564	0	0	1
gene_7566	206	322	533
gene_7567	0	0	0
gene_7570	73	75	173
gene_7571	278	772	1363
gene_7572	383	1114	1933
gene_7573	0	7	11
gene_7574	1244	2601	5048
gene_7575	0	0	4
gene_7576	9	19	43
gene_7577	94	196	447
gene_7580	2	8	9
gene_7581	2101	5087	9758
gene_7582	14	27	58
gene_7583	367	1123	2053
gene_7584	14	26	51
gene_7585	18	27	32
gene_7586	7	7	21
gene_7587	5	6	30
gene_7588	1	2	0
gene_7589	332	904	1431
gene_7590	0	0	3
gene_7591	25	38	70
gene_7593	0	0	1
gene_7598	0	5	13
gene_7599	231	511	1126
gene_7600	17	35	104
gene_7601	271	667	1306
gene_7602	797	1810	3486
gene_7603	3049	301	504
gene_7604	2	11	18
gene_7605	196	331	534
gene_7606	232060	898	1838
gene_7607	58	82	153
gene_7609	0	0	0
gene_7611	6	36	50
gene_7615	3	30	31
gene_7616	0	2	1
gene_7617	0	10	16
gene_7619	6	9	34
gene_7620	143	425	787
gene_7621	218	555	1095
gene_7622	955	2297	3829
gene_7623	419	940	1753
gene_7624	1274	2602	5429
gene_7626	109	221	482
gene_7627	1	1	1
gene_7628	132	246	621
gene_7630	913	2201	3928
gene_7631	12	52	93
gene_7632	78	140	283
gene_7633	69	108	244
gene_7642	961	1945	2728
gene_7645	4	0	9
gene_7646	14	0	17
gene_7649	0	0	0
gene_7652	0	0	1
gene_7653	699	1547	3002
gene_7654	2	3	3
gene_7657	1555	3758	6726
gene_7658	0	0	2
gene_7664	901	1941	3261
gene_7665	1	2	2
gene_7666	0	0	0
gene_7667	0	0	0
gene_7668	27	44	102
gene_7669	3	3	6
gene_7670	278	592	1080
gene_7671	78	197	356
gene_7672	28	71	116
gene_7673	1	6	21
gene_7674	7	19	23
gene_7675	1	8	10
gene_7676	109	439	826
gene_7678	0	0	1
gene_7679	1924	4799	9301
gene_7680	0	1	1
gene_7681	683	2056	3342
gene_7682	569	1414	2697
gene_7683	1113	2668	5266
gene_7685	660	1831	3131
gene_7686	0	0	1
gene_7687	2	0	11
gene_7688	0	0	1
gene_7689	0	4	0
gene_7694	255	640	1174
gene_7695	211	524	804
gene_7696	0	0	0
gene_7697	0	63	99
