gene	KO	Rescue	WT
gene_382	151	256	577
gene_386	0	0	3
gene_387	0	3	1
gene_388	46	118	304
gene_389	1829	3407	7754
gene_390	19	33	44
gene_391	10	18	25
gene_392	9	19	49
gene_393	238	514	1149
gene_394	45	90	296
gene_395	52	131	213
gene_396	358	719	1482
gene_397	2537	4312	10147
gene_398	595	1225	2434
gene_399	698	1230	2940
gene_400	2	4	1
gene_401	2	4	7
gene_402	2	3	5
gene_404	102	26	76
gene_405	226	531	1088
gene_408	0	0	1
gene_409	0	0	3
gene_410	142	280	623
gene_412	17	33	114
gene_413	50	75	176
gene_414	0	0	1
gene_415	52	56	146
gene_416	2	3	7
gene_417	63	93	237
gene_418	1346	2334	5077
gene_419	7591	171	395
gene_420	745	1575	3158
gene_421	7	4	87
gene_422	0	0	0
gene_424	8	25	75
gene_425	0	2	1
gene_428	210	360	821
gene_429	4241	6908	15730
gene_430	1056	2087	4631
gene_432	0	2	0
gene_435	0	0	0
gene_439	43	161	467
gene_440	0	1	1
gene_442	624	877	2151
gene_443	1028	1537	3895
gene_444	132	277	496
gene_445	2078	3771	7334
gene_446	37	64	122
gene_447	973	2061	3839
gene_448	7814	1878	4099
gene_449	1173	2310	4839
gene_450	1464	2501	5366
gene_451	168	336	743
gene_452	2877	5535	13209
gene_453	804	1218	2807
gene_455	1726	2590	6509
gene_456	1038	1639	3790
gene_457	0	0	0
gene_458	375	689	1451
gene_459	12	22	41
gene_460	3	4	7
gene_461	109	299	539
gene_463	1	13	37
gene_466	82	20	17
gene_467	0	0	0
gene_468	1	6	11
gene_469	303	542	1204
gene_472	0	1	0
gene_476	0	0	1
gene_478	1656	3990	8217
gene_479	369	667	1417
gene_481	294	757	1625
gene_482	722	1575	3420
gene_483	805	1700	3752
gene_484	3979	7599	16611
gene_485	0	5	15
gene_486	3	12	16
gene_487	0	0	2
gene_488	2031	4662	9540
gene_489	1300	2694	5249
gene_490	0	0	0
gene_491	2845	5405	13901
gene_492	0	1	1
gene_493	3	4	6
gene_495	610	224	380
gene_496	2	6	5
gene_497	0	0	0
gene_498	2100	4121	10466
gene_499	713	1556	2942
gene_500	1169	1969	3259
gene_501	7248	11778	19205
gene_502	5	6	8
gene_503	57	82	204
gene_504	10	5	23
gene_505	6	2	2
gene_506	122	188	479
gene_507	3976	8234	14624
gene_508	90	150	394
gene_509	0	0	3
gene_510	36	47	152
gene_511	2	7	17
gene_513	324	699	1301
gene_514	0	0	0
gene_515	0	0	1
gene_519	19	57	81
gene_523	1641	3080	6557
gene_524	42	63	116
gene_525	1118	2142	4281
gene_526	238	715	1280
gene_527	304	45	37
gene_528	0	2	24
gene_529	2387	4623	10049
gene_530	161	417	790
gene_531	11	45	44
gene_532	2	7	12
gene_533	432	1286	2723
gene_534	66	221	493
gene_535	66	159	302
gene_537	0	0	7
gene_540	9612	17579	42383
gene_541	133	329	583
gene_542	917	2044	4080
gene_543	1493	1443	2967
gene_544	1492	2390	6165
gene_545	1725	3587	8765
gene_546	654	1196	2608
